Item_id,Main_Category,Sub_Categories,Item_Code,Product_Title,Product_Description,UPC,Brand,Department,Type,Tag,List Price,Price,Inventory,Min Order Qty,Available,Large Image,Additional Images,Item Properties
201644,Floor Marking Tape,Floor Marking Tape,N53-MASKINGTAPE,MARKING TAPE (ANY COLOUR) 3 inch  FOR MARKING OF TRIP HAZARD AREA,"<div><p>Non-toxic,Non-reflective,High durability</p></div>",2.02E+11,Kalika,,,,155,155,19999850,6,YES,/20190501314/assets/items/largeimages/MARKING_TAPE_ANY_COLOUR_3_Inch-_FOR_MARKING_OF_TRIP_HAZARD_AREA1.jpg,,"Adhesive_Side - Single Sided, Adhesive_Type - Pressure Sensitive, Colour - All(yellow black/ white red/ white green/ white black), Feature - Heat Resistant, Waterproof, Lead_Time - 6, Size - 2Inch, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 27112806"
201645,Barrier Cream,Barrier Cream,N51EM-052-0133,KERODEX 71 BARRIER CREAM,"This is a tough multipurpose cream that builds a protective sheath round hands that work with certain acids, alkalis, resins, paints, adhesives, industrial mineral oils etc.",2.02E+11,Kerodex,,,,672,672,99,0,YES,/20190501314/assets/items/largeimages/KERODEX_71_BARRIER_CREAM.jpeg,,"Lead_Time - 7, Sys_Num_Images - 1, Sys_Product_Type - 12% GST, Unit_of_Measure - KGM, UNSPSC - 46181707"
201646,Rubber Mat,Rubber Mat,N36EG-020-0186,RUBBER MAT 6MM THK,"<div><ul>
<li>Long lasting</li>
<li>Excellent strength</li>
<li>Quality approved</li>
<li>Suitable for Material Handling Purposes.&nbsp;</li>
<li>Not Suitable for Oli &amp; chemical Resistant uses.&nbsp;</li>
</ul></div>",2.02E+11,,,,,85,85,5000,0,YES,/20190501314/assets/items/largeimages/RUBBER_MAT_6MM_THK.jpg,,"Lead_Time - 7, Material - Rubber, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Thickness - 12mm to 50mm, Unit_of_Measure - KGM, UNSPSC - 47131901, Sys_Discount_Group - Not Discounted"
201647,Rubber Mat,"Rubber Mat,Facility Maintenance",N71-ACRYLICSH5MM,ACRYLIC SHEET 5MM THK (IN SQUARE FEET),"<div><ul class=""a-unordered-list a-vertical a-spacing-none"">
<li><b><span class=""a-list-item"">Suitable for DIY Projects.</span></b></li>
<li><b><span class=""a-list-item"">Easy to cut, just scratch with knife or acrylic cutter and bend over the edge of a table to break.</span></b></li>
<li><b><span class=""a-list-item"">Easy to join, glue it with quick bond easily available at any hardware store.</span></b></li>
<li><span class=""a-list-item""><b>Easy to drill holes</b>.</span></li>
<li><b><span class=""a-list-item"">Size Of Sheet 8' x 4'&nbsp;</span></b></li>
<li><b><span class=""a-list-item"">Thickness 5 mm.</span></b></li>
</ul></div>",2.02E+11,,,,,180,180,132,32,YES,/20190501314/assets/items/largeimages/acrylic_sheet.jpg,,"Lead_Time - 7, Material - Poly methyl methacrylate (PMMA), Min._Air-Compressor(HP) - , SIZE - 8 Ft X 4 Ft, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thickness - 5mm, Unit_of_Measure - FTK, UNSPSC - 47131906"
201648,Lock,Lock,N35EG-012-0556,LOCK 75MM,"<div><p><b>6 BRASS LEVERS,</b></p>
<p><b>Model- ROUND BRASS - 75 mm L.S,</b></p>
<p><b> Type- PADLOCK,</b></p>
<p><b>KEYS= THREE MILLED KEYS,</b></p>
<p><b> Material-BRASS, </b></p>
<p><b>Locking- DOUBLE LOCKING</b></p></div>",2.02E+11,,,,,250,250,1000,1,YES,/20190501314/assets/items/largeimages/LOCK_75MM.jpeg,,"Lead_Time - 6, Lever - 9, Material - Stainless Steel, Package_Contents - 1 Piece Lock & 3 Pieces Keys, Shape - Round, Size - Outer Body: 75 mm, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46171503"
201649,Lock,Lock,N35EG-012-0348,LOCK 50MM,,2.02E+11,,,,,200,200,11000,1,YES,/20190501314/assets/items/largeimages/LOCK_50MM.jpeg,,"Lead_Time - 6, Lever - 6, Material - Stainless Steel, Package_Contents - 1 Piece Lock & 3 Pieces Keys, Shape - Round, Size - Outer Body: 50 mm, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46171503"
201650,Cotton Waste,Cotton Waste,N43HR-0016,COTTON WASTE for cleaning in MOQ-50kg balley,"<div>
<p>Made of Cotton cloths,used chrlorinated washed andused for wiping out hands and machinery</p>
</div>",2.02E+11,Kalika,,,,35,35,49999500,50,YES,/20190501314/assets/items/largeimages/COTTON_WASTE_9X12.jpg,,"Color - Colored, Condition - New, Lead_Time - 7, Material - Cotton, Pack_Size - 50 Kg Bag, Packaging_Type - HDPE Bag, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, Unit_of_Measure - KGM, UNSPSC - 47131502, Usage - Industrial"
201651,Hosiery Cloth,Hosiery Cloth,N70HR-0180,HOSIERY CLOTH,"<div><p><b>Made of Cotton cloths, u</b><b>sed chrlorinated washed</b></p>
<p><b>Used for wiping out hands and machinery</b></p></div>",2.02E+11,Kalika,,,,150,150,97,0,YES,/20190501314/assets/items/largeimages/HOSIERY.jpg,,"Lead_Time - 7, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, Unit_of_Measure - KGM, UNSPSC - 99281104"
201652,Saw Dust,Saw Dust,N79-SAWDUST,SAW DUST,<div><p><b>Best quality range of Natural Sawdust in various sizes.</b></p></div>,2.02E+11,,,,,25,25,100000000,10,YES,/20190501314/assets/items/largeimages/SAW_DUST.jpg,,"Lead_Time - 6, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, Unit_of_Measure - KGM, UNSPSC - 11121702"
201653,Janitorial,"Janitorial,Featured",N35EG-012-0052,"ALUMINIUM FOIL, MAKE- FOIL PLUS / PAL, THK- 18 MICRON","<div>
<p>Good Thermal Coductivity</p>
<p>Durable</p>
<p>Easy to cut.</p>
</div>",2.02E+11,Foil Plus,,,,340,340,2000,10,YES,/20190501314/assets/items/largeimages/ALUMINIUM_FOIL_MAKE-_FOIL_PLUS_PAL_THK-_18_MICRON1.jpg,,"300mm_X__18_Micron - Weight, Color - Silver, Foil_Type - Standard, Lead_Time - 7, Material - Aluminium, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Type - Aluminium Foil, Unit_of_Measure - EA, UNSPSC - 30102006"
