action,item id,item name,item code,item information
edit,201679,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X16",N31EG-012-0736,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201680,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X20",N31EG-012-0737,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201681,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X25",N31EG-012-0738,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201682,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X30",N31EG-012-0739,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201683,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X35",N51EG-012-0197,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201684,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X40",N51EG-012-0198,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201685,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X45",N31EG-012-0740,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201686,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X50",N31EG-012-0741,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201687,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X70",N51-ALLEN8X70,"<div><p>Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free</p></div>"
edit,201688,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X80",N31EG-012-0587,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201689,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X25",N51EG-012-0286,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201690,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X30",N31EG-012-0428,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201691,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X35",N31EG-012-0444,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201692,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X40",N51EG-012-0001,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201693,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X45",N51EG-012-0002,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,202314,KIT BAG WITH LOGO PRINTING FOR APOLLO GENSET,N50KITBAGAPOLLO,
edit,201694,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X50",N51EG-012-0003,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201695,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X60",N51EG-012-0004,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201696,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-10X70",N51EG-012-0005,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201697,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X160",N31EG-012-0353,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201698,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X30",N31EG-012-0746,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201699,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X40",N31EG-012-0747,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201700,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X50",N51EG-012-0006,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201701,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X60",N31EM-052-0051,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201702,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X70",N51EG-012-0008,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201703,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X100",N51EG-012-018,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201704,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X120",N31EG-012-0325,"<div><p>Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free</p></div>"
edit,201705,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-12X180",N31EG-012-0512,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201706,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-16X35",N31EG-012-0748,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201707,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-16X60",N51EG-012-0009,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201708,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-16X120",N31EG-012-0527,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201709,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-16X130",N31EG-012-0757,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201710,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-20X60",N51EG-012-0232,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201711,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-20X75",N51EG-012-0478,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201712,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-20X140",N31EG-012-0400,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201713,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-24X60",N31EG-012-0463,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201714,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-24X75",N31EG-012-0750,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201715,"DOWEL PIN SOLIDMAKE-UNBRAKO , SIZE-2X15",N31EM-052-0113,"Light weight,Simple to install,Anti corrosive,High functionality,Low maintenance,Sturdiness"
edit,201716,"DOWEL PIN SOLIDMAKE-UNBRAKO , SIZE-4X50",N31EM-052-0114,"Light weight,Simple to install,Anti corrosive,High functionality,Low maintenance,Sturdiness"
